"Wavelength","BG18",      "BG25",      "BG3",       "BG36",      "BG38",      "BG39",      "BG40",      "BG42",      "BG47",      "BG55",      "BG59",      "BG60",      "BG60HT",    "BG61",      "BG62",      "BG62HT",    "BG63",      "BG64",      "BG66",      "BG66HS",    "BG67",      "BG67HT",    "BG7",       "GG395",     "GG400",     "GG420",     "GG435",     "GG455",     "GG475",     "GG495",     "KG1",       "KG2",       "KG3",       "KG5",       "N-WG205",   "N-WG280",   "N-WG295",   "N-WG305",   "N-WG320",   "N-WG360",   "NG1",       "NG11",      "NG3",       "NG4",       "NG5",       "NG9",       "OG515",     "OG530",     "OG550",     "OG570",     "OG590",     "RG1000",    "RG610",     "RG630",     "RG645",     "RG665",     "RG695",     "RG715",     "RG780",     "RG830",     "RG850",     "RG9",       "RG905",     "S7000",     "S7005",     "S7010N",    "S8008G",    "S8022",     "S8023",     "S8612",     "S8802",     "S8806A",    "S8808",     "S8809",     "S8851",     "UG1",       "UG11",      "UG2A",      "UG5",       "VG20",      "VG9"
300,         1e-05,       0.014,       0.9457,      0.08428,     0.0006457,   1e-05,       1e-05,       1e-05,       1e-05,       1.878e-05,   1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.002982,    1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.21,        0.444,       0.2288,      0.022,       0.99,        0.86,        0.64,        0.34,        0.0096,      1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.022,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.0012,      1e-05,       0.011,       1e-05,       1e-05,       0.064,       0.1551,      0.88,        0.01967,     0.96,        1e-05,       1e-05
310,         0.0005636,   0.1439,      0.97,        0.1446,      0.114,       0.0002473,   0.026,       0.001094,    1e-05,       0.006724,    1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.002433,    0.07223,     1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.4189,      0.6372,      0.4257,      0.1138,      0.99,        0.93,        0.84,        0.66,        0.16,        1e-05,       1e-05,       5.1e-05,     1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.021,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.07,        1e-05,       0.12,        1e-05,       1e-05,       0.31,        0.335,       0.907,       0.1622,      0.9656,      1e-05,       1e-05
320,         0.033,       0.408,       0.9798,      0.2223,      0.487,       0.04316,     0.356,       0.04416,     1e-05,       0.09213,     1e-05,       7.831e-05,   7.415e-05,   0.0008279,   1.091e-05,   1.339e-05,   0.07008,     0.3138,      1e-05,       1e-05,       1e-05,       1e-05,       0.0004675,   1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.6222,      0.769,       0.6184,      0.295,       0.9953,      0.9626,      0.9279,      0.8507,      0.5066,      1e-05,       1e-05,       0.006622,    1e-05,       1e-05,       0.0007413,   1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.03831,     1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.3262,      1e-05,       0.286,       1e-05,       1e-05,       0.5353,      0.5189,      0.92,        0.4089,      0.9757,      1e-05,       1e-05
330,         0.156,       0.655,       0.9859,      0.1781,      0.718,       0.2547,      0.686,       0.1931,      0.003175,    0.265,       1e-05,       0.0136,      0.01574,     0.03776,     0.005414,    0.00593,     0.3265,      0.6101,      0.001069,    0.0009746,   0.0001702,   4.871e-05,   0.01289,     1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.769,       0.8522,      0.7634,      0.516,       0.9968,      0.9766,      0.963,       0.9332,      0.77,        1e-05,       1e-05,       0.07396,     1e-05,       0.0001991,   0.016,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.1542,      1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.5836,      1e-05,       0.1121,      1e-05,       1e-05,       0.6291,      0.6591,      0.926,       0.6267,      0.9802,      4.871e-05,   1e-05
340,         0.305,       0.805,       0.9857,      0.3601,      0.829,       0.4905,      0.832,       0.3537,      0.05681,     0.4212,      0.001027,    0.1301,      0.1447,      0.2218,      0.07963,     0.09512,     0.6188,      0.8116,      0.03817,     0.03686,     0.013,       0.007922,    0.06592,     1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.85,        0.902,       0.8445,      0.684,       0.9981,      0.9849,      0.9787,      0.9668,      0.9013,      0.0001057,   1e-05,       0.2387,      3.855e-05,   0.006039,    0.086,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.4615,      0.001598,    0.001751,    1e-05,       1e-05,       1e-05,       0.7324,      1e-05,       0.3242,      1e-05,       1e-05,       0.663,       0.7508,      0.921,       0.7641,      0.9816,      0.007922,    1e-05
350,         0.416,       0.887,       0.9856,      0.02978,     0.8813,      0.6442,      0.894,       0.4717,      0.2113,      0.5277,      0.02251,     0.3524,      0.3866,      0.4867,      0.2609,      0.3042,      0.8085,      0.9134,      0.1903,      0.1848,      0.09108,     0.07618,     0.16,        1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.904,       0.931,       0.8948,      0.795,       0.9987,      0.9894,      0.9859,      0.98,        0.9533,      0.06888,     1e-05,       0.4241,      0.00104,     0.0339,      0.205,       6.412e-05,   1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.7547,      0.09824,     0.1027,      1e-05,       1e-05,       0.0005305,   0.8052,      1e-05,       0.001408,    1e-05,       1e-05,       0.5002,      0.8072,      0.906,       0.8415,      0.9809,      0.07618,     1e-05
360,         0.497,       0.928,       0.9865,      0.06104,     0.9077,      0.7297,      0.923,       0.5508,      0.3848,      0.598,       0.09632,     0.5453,      0.5939,      0.6867,      0.4385,      0.5087,      0.902,       0.9618,      0.3932,      0.375,       0.2195,      0.2203,      0.26,        1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.934,       0.9492,      0.9343,      0.869,       0.9996,      0.9916,      0.9893,      0.9857,      0.9728,      0.5004,      1e-05,       0.5667,      0.0059,      0.0888,      0.328,       0.0008472,   1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.8962,      0.3675,      0.3035,      1e-05,       0.0005717,   0.01243,     0.8471,      0.002721,    0.005762,    1e-05,       1e-05,       0.06054,     0.8327,      0.866,       0.8747,      0.9761,      0.2203,      1e-05
370,         0.552,       0.948,       0.9829,      0.808,       0.9239,      0.7811,      0.938,       0.6085,      0.5139,      0.65,        0.1987,      0.6642,      0.7185,      0.8013,      0.5592,      0.642,       0.9441,      0.9818,      0.5584,      0.5257,      0.336,       0.3634,      0.349,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.9456,      0.9593,      0.9455,      0.898,       0.9994,      0.9928,      0.9909,      0.9884,      0.9814,      0.8309,      1e-05,       0.629,       0.01704,     0.1391,      0.4012,      0.003404,    1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.9511,      0.6496,      0.5979,      1e-05,       0.005212,    0.06439,     0.8719,      0.1147,      0.9007,      1.993e-05,   0.002355,    0.7091,      0.8124,      0.756,       0.867,       0.96,        0.3634,      1e-05
380,         0.603,       0.96,        0.9794,      0.8558,      0.9359,      0.8163,      0.947,       0.6549,      0.5989,      0.6932,      0.2886,      0.7356,      0.7901,      0.8579,      0.6359,      0.7214,      0.9639,      0.9899,      0.6617,      0.6234,      0.4226,      0.4698,      0.435,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.9487,      0.9651,      0.9509,      0.909,       0.9995,      0.9936,      0.9919,      0.9899,      0.9859,      0.9328,      1e-05,       0.5968,      0.02199,     0.1439,      0.393,       0.005284,    1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.9717,      0.8064,      0.7672,      1e-05,       0.01815,     0.1397,      0.8942,      0.1358,      0.9175,      0.001618,    0.01874,     0.7802,      0.706,       0.482,       0.7794,      0.912,       0.4698,      1e-05
390,         0.643,       0.965,       0.975,       0.9077,      0.946,       0.8436,      0.954,       0.6954,      0.6524,      0.7313,      0.3537,      0.7795,      0.8295,      0.89,        0.6861,      0.7694,      0.9748,      0.9935,      0.7246,      0.6849,      0.4878,      0.5425,      0.504,       0.1131,      0.00343,     1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.9433,      0.9615,      0.9379,      0.8998,      0.9993,      0.9942,      0.9928,      0.9907,      0.9885,      0.9644,      1e-05,       0.7166,      0.04696,     0.225,       0.5,         0.01464,     1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       1e-05,       0.981,       0.8817,      0.8431,      1e-05,       0.03992,     0.2098,      0.9098,      0.3197,      0.9571,      0.0199,      0.06302,     0.7899,      0.438,       0.12,        0.5154,      0.787,       0.5425,      1e-05
